panel,M,C,on_A_final,on_B_final,off_A_final,off_B_final,d_on_max_pp,d_on_final_pp,d_off_max_pp,d_off_final_pp,spec_A_final,spec_B_final,spec_pct_final,spec_log2_final,depletion_pct,sequestration_pct,min_Cfree,timing_pct,spearman_off,ranking_inversions,nan_inf,min_cleaved,gpu,gpu_time_s,flag_on_1pp,flag_on_5pp,flag_spec,flag_depletion,flag_timing,flag_ranking
CONTROLLED_STRESS,1,0.1,0.9997217270025255,0.9997217261718746,0.0,0.0,8.347253693807843e-05,-8.306508814115432e-08,0.0,0.0,999721727002.5255,999721726171.8746,-8.308820909562482e-08,-1.1987095446908452e-09,0.0003400332323377775,0.0003400332323570206,0.09999965996676767,0.00024539119842041277,nan,0,False,-1.36807845108581e-16,True,41.8962664604187,False,False,False,False,False,False
CONTROLLED_STRESS,1,0.3,1.0,1.0,0.0,0.0,8.343827151979788e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.00033978430616921074,0.00033978430623861003,0.29999898064708147,0.0002427701169801087,nan,0,False,0.0,True,45.457545042037964,False,False,False,False,False,False
CONTROLLED_STRESS,1,1.0,1.0,1.0,0.0,0.0,8.329836485021502e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.0003390213706211398,0.00033902137078538173,0.9999966097862938,0.00023714087683230001,nan,0,False,-1.36807845108581e-16,True,43.90150499343872,False,False,False,False,False,False
CONTROLLED_STRESS,1,3.0,1.0,1.0,0.0,0.0,8.328780050081974e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.000337176145970286,0.0003371761462690651,2.999989884715621,0.00023424334929168908,nan,0,False,0.0,True,43.847471714019775,False,False,False,False,False,False
CONTROLLED_STRESS,1,10.0,1.0,1.0,0.0,0.0,8.307780182126301e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.00033202189509973223,0.0003320218958924729,9.99996679781049,0.0002470976918407256,nan,0,False,0.0,True,39.58188343048096,False,False,False,False,False,False
CONTROLLED_STRESS,1,30.0,1.0,1.0,0.0,0.0,8.218008048510583e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.0003207020455198162,0.0003207020469551532,29.999903789386344,0.00023571564319582657,nan,0,False,0.0,True,27.577699661254883,False,False,False,False,False,False
CONTROLLED_STRESS,1,100.0,1.0,1.0,0.0,0.0,7.916539032093439e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.0002935178256224802,0.000293517828144902,99.99970648217437,0.0002038403761171097,nan,0,False,0.0,True,6.633831977844238,False,False,False,False,False,False
CONTROLLED_STRESS,10,0.1,0.9997217270025255,0.999721014139859,0.334360862911459,0.3343591341840531,0.015275301019257448,-7.128626664520965e-05,0.004918355552346876,-0.00017287274058919166,2.9899483997451837,2.9899617265624254,0.00044572064330226403,6.430375286436066e-06,0.04766589575417868,0.04766590420545251,0.09995233410424582,0.043638999171844106,1.0,0,False,-2.73615690217162e-16,True,5.977377414703369,False,False,False,False,False,False
CONTROLLED_STRESS,10,0.3,1.0,1.0,0.33843759272934687,0.3384362146520781,0.015222153038529918,0.0,0.004903449091095413,-0.0001378077268743283,2.954754499736555,2.9547665311913303,0.00040718965911376223,5.874493059038718e-06,0.04733937418860412,0.047339392340083844,0.2998579818774342,0.04311670285458142,1.0,0,False,-5.47231380434324e-16,True,6.03064489364624,False,False,False,False,False,False
CONTROLLED_STRESS,10,1.0,1.0,1.0,0.3500270328037222,0.350022804513635,0.015080646169174372,0.0,0.004842274443100925,-0.0004228290087227027,2.856922198228882,2.8569567099682747,0.001208004173648467,1.7427711043414893e-05,0.04644078139827146,0.046440822981280126,0.9995355921860173,0.041621970505978066,1.0,0,False,-6.84039225542905e-16,True,5.815194129943848,False,False,False,False,False,False
CONTROLLED_STRESS,10,3.0,1.0,1.0,0.3808282626661581,0.38081740766097716,0.014668268309780963,0.0,0.004674325977604976,-0.0010855005180943067,2.6258555313001932,2.6259303799673583,0.002850448787943308,4.1122697218745185e-05,0.044546868592831856,0.04454694919317727,2.998663593942215,0.039725439093812306,1.0,0,False,-8.20847070651486e-16,True,44.669589042663574,False,False,False,False,False,False
CONTROLLED_STRESS,10,10.0,1.0,1.0,0.4666886333271532,0.46666631974854833,0.013300826050577363,0.0,0.0041108348338536604,-0.0022313578604882256,2.142756280281735,2.142858735845095,0.0047814846841308595,6.898059328361736e-05,0.040155723375490116,0.04015584837670218,9.995984427662451,0.036992758465194085,1.0,0,False,-8.20847070651486e-16,True,45.45825695991516,False,False,False,False,False,False
CONTROLLED_STRESS,10,30.0,1.0,1.0,0.6023509597487,0.6023295888378519,0.010337440070262716,0.0,0.0028493293135561926,-0.002137091084808418,1.6601617110654867,1.660220614311447,0.003548042673657545,5.118652764699729e-05,0.0329134101115125,0.032913548491125495,29.990125976966546,0.025471002375005804,1.0,0,False,-6.84039225542905e-16,True,46.493691205978394,False,False,False,False,False,False
